season,date,home_team,away_team,home_goals,away_goals,score,result,venue
2008-2009,2009-05-03,Betis,Atlético Madrid,0.0,2.0,0–2,Away Win,Manuel Ruiz de Lopera
2008-2009,2009-05-03,Osasuna,Recreativo,1.0,2.0,1–2,Away Win,Reyno de Navarra
2008-2009,2009-05-03,Racing Sant,Almería,0.0,2.0,0–2,Away Win,Campos de Sport del Sardinero
2008-2009,2009-05-03,Mallorca,Getafe,2.0,1.0,2–1,Home Win,Ono Estadi
2008-2009,2009-05-03,Espanyol,Valencia,3.0,0.0,3–0,Home Win,Olímpic Lluís Companys
2008-2009,2009-05-09,Sevilla,Mallorca,3.0,1.0,3–1,Home Win,Ramón Sánchez Pizjuán
2008-2009,2009-05-09,Valencia,Real Madrid,3.0,0.0,3–0,Home Win,Mestalla
2008-2009,2009-05-09,Athletic Club,Betis,1.0,0.0,1–0,Home Win,San Mamés
2008-2009,2009-05-10,Málaga,Racing Sant,1.0,0.0,1–0,Home Win,La Rosaleda
2008-2009,2009-05-10,Getafe,Osasuna,3.0,0.0,3–0,Home Win,Coliseum Alfonso Pérez
2008-2009,2009-05-10,Almería,Sporting Gijón,3.0,1.0,3–1,Home Win,Juegos del Mediterráneo
2008-2009,2009-05-10,Atlético Madrid,Espanyol,3.0,2.0,3–2,Home Win,Vicente Calderón
2008-2009,2009-05-10,Recreativo,La Coruña,1.0,2.0,1–2,Away Win,Nuevo Colombino
2008-2009,2009-05-10,Barcelona,Villarreal,3.0,3.0,3–3,Draw,Nou Camp
2008-2009,2009-05-10,Valladolid,Numancia,0.0,0.0,0–0,Draw,Nuevo Zorrilla
2008-2009,2009-05-16,Osasuna,Sevilla,0.0,0.0,0–0,Draw,Reyno de Navarra
2008-2009,2009-05-16,Villarreal,Real Madrid,3.0,2.0,3–2,Home Win,El Madrigal
2008-2009,2009-05-16,La Coruña,Getafe,1.0,1.0,1–1,Draw,Nuevo Riazor
2008-2009,2009-05-17,Betis,Almería,2.0,0.0,2–0,Home Win,Manuel Ruiz de Lopera
2008-2009,2009-05-17,Racing Sant,Valladolid,3.0,2.0,3–2,Home Win,Campos de Sport del Sardinero
2008-2009,2009-05-17,Numancia,Recreativo,1.0,0.0,1–0,Home Win,Los Pajaritos
2008-2009,2009-05-17,Sporting Gijón,Málaga,2.0,1.0,2–1,Home Win,El Molinón
2008-2009,2009-05-17,Mallorca,Barcelona,2.0,1.0,2–1,Home Win,Ono Estadi
